ZIPCODE,TreeCanopy
01001,34.07435897435897
01002,66.2624708110394
01003,18.52364864864865
01005,69.67010051819942
01007,64.43352539412257
01008,76.16529322295916
01009,55.48909790508765
01010,65.88576826940108
01011,77.25793233412219
01012,75.27230805304431
01013,21.6698755186722
01020,31.198442953020134
01022,7.871946328301612
01026,72.39135005904888
01027,67.05962711864407
01028,49.15840715026734
01029,67.52281859652528
01030,45.26896412271073
01031,61.411339323919556
01032,74.0700288184438
01033,62.20565015096768
01034,78.22896913551071
01035,31.412403604417953
01036,68.42029088581486
01037,64.96642446059151
01038,25.28527626956244
01039,73.1569558819733
01040,49.830278302174044
01050,75.44305810829917
01053,69.88557379227856
01054,78.15131369728175
01056,54.26190067232664
01057,70.06832753251511
01060,32.812926822299055
01062,65.8172185933465
01066,66.35052970981114
01068,73.34285995053803
01069,64.60349557847292
01070,73.51006173869514
01071,77.85378007999475
01072,81.0012145339226
01073,65.85749261899619
01074,29.277227722772277
01075,54.360794757021175
01077,54.57734864186159
01079,53.73880597014925
01080,46.14942965779468
01081,77.97481470990888
01082,61.884376949728534
01083,67.86096750775458
01085,54.9836694607496
01086,10.435643564356436
01088,74.70070846143564
01089,42.226161441913035
01092,70.53072164948453
01093,72.84043655453478
01094,48.088857142857144
01095,61.52327868852459
01096,78.24167749402221
01098,74.56586027433511
01103,1.4570690768237573
01104,17.33427168576105
01105,9.989072426937739
01106,48.1193370556223
01107,19.94779661016949
01108,34.497848305540614
01109,21.147278219591886
01118,36.50070681368391
01119,33.422181783354084
01128,48.397624257580496
01129,39.64244214672575
01151,20.160038007329984
01201,55.31116047683114
01220,65.92749704242014
01222,42.66629554655871
01223,74.44970039012208
01225,66.20366628953181
01226,72.2808161658575
01230,67.20508708462313
01235,73.77928547529648
01236,70.08238921554567
01237,74.97541573459927
01238,67.28648868410353
01240,67.3097197243399
01242,52.61671270718232
01243,78.84683223328486
01244,70.3882618510158
01245,76.17425048355899
01247,72.61374865032883
01253,75.87811814565598
01254,67.62769274713766
01255,78.35897654472372
01256,77.74374427462514
01257,58.93487862851154
01258,77.53263931743179
01259,70.59141428913291
01260,77.58132571117463
01262,59.60420158979073
01264,75.03244425542256
01266,70.41205558420266
01267,68.36440026675982
01270,74.22051315404377
01301,54.23297073816883
01330,72.13300176811804
01331,71.5591715788202
01337,71.7821668959875
01338,71.30868426355028
01339,77.1815473378558
01340,74.78662900336919
01341,76.22496950452107
01342,57.452279533490824
01344,74.13576004516335
01346,74.67594275329395
